TEAM_ID,PLAYER_NAME,PLAYER_ID,TEAM_NBACOM,POS,ROLE,GP,MIN,POSS,PTS,REB,AST,STL,BLK,TOV,FG2_PCT,FG3_PCT,OREB,DREB,FG3A,AT_RIM_FGA,AT_RIM_FREQUENCY,AT_RIM_ACCURACY,MID_FGA,MID_FREQUENCY,MID_ACCURACY,THREE_FREQUENCY,THREE_ACCURACY,rTS,USG_PCT,BOX_CREATION,OFF_LOAD,FTA_RATE,OREB_PCT,DREB_PCT,AST_PCT,STL_PCT,BLK_PCT,TOV_PCT
1610612759,Dylan Harper,1642844,SAS,SG,Combo,60,1340,2836,690,204,233,46,20,83,0.564,0.316,43,161,158,259,0.459,0.629,147,0.261,0.449,0.28,0.316,0.3,21.9,6.3,35.2,0.195,3.5,12.6,25.3,1.6,1.3,11.9
1610612737,Dyson Daniels,1630700,ATL,SG,Wing,69,2289,4922,815,463,408,133,29,125,0.579,0.157,163,300,102,334,0.472,0.692,271,0.383,0.439,0.144,0.157,-2,16,3,26.3,0.154,7.6,14.4,24,2.7,1.2,14.2
1610612751,E.J. Liddell,1630604,BKN,PF,Big,19,173,370,48,34,13,3,7,7,0.632,0.241,6,28,29,6,0.125,1,13,0.271,0.462,0.604,0.241,-8.2,14.4,1.1,18.9,0.104,3.8,19.8,11.3,0.9,3.7,12.2
1610612751,Egor Dëmin,1642856,BKN,PG,Combo,52,1308,2702,536,165,173,42,17,86,0.433,0.385,21,144,322,60,0.134,0.55,67,0.149,0.328,0.717,0.385,0.1,18.8,4.6,29,0.145,1.8,13.5,20.6,1.6,1.2,15.3
1610612762,Elijah Harkless,1641989,UTA,SG,Combo,24,477,1027,163,44,68,29,4,25,0.476,0.25,8,36,76,37,0.266,0.568,26,0.187,0.346,0.547,0.25,-6.9,16.5,3,25.7,0.439,1.8,8.4,18.6,2.9,0.8,13.1
1610612759,Emanuel Miller,1641801,SAS,PF,Forward,5,33,72,15,3,4,2,0,0,NA,NA,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,-2,17.6,NA,NA,0.154,3.3,6.4,17.4,2.9,0,0
1610612750,Enrique Freeman,1642402,MIN,PF,Forward,2,8,20,0,3,0,0,1,0,NA,NA,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,40.1,0,0,11,NA
1610612755,Eric Gordon,201569,PHI,SG,Combo,6,74,156,33,2,3,4,1,3,0.571,0.571,1,1,14,6,0.286,0.667,1,0.048,0,0.667,0.571,19.4,14.2,1.6,18.5,0.095,1.5,1.5,5.8,2.6,1.3,12.1
1610612754,Ethan Thompson,1630679,IND,SG,Combo,24,417,877,123,44,35,15,6,16,0.467,0.307,12,32,75,16,0.133,0.688,29,0.242,0.345,0.625,0.307,-7.8,14.6,1.5,20.4,0.142,3.1,8.6,11.4,1.7,1.2,11.2
1610612739,Evan Mobley,1630596,CLE,PF,Big,58,1878,3965,1049,514,211,45,106,111,0.62,0.302,140,374,199,343,0.445,0.743,228,0.296,0.434,0.258,0.302,3.1,22.4,4.6,32.5,0.348,8.2,21.9,16.7,1.2,5.3,11.1
